"","Var1","Freq"
"231","La Candelaria",5901
"150","Campo Amor",5142
"331","Perpetuo Socorro",5093
"154","Caribe",4866
"119","Barrio Colón",4489
"288","Los Conquistadores",4108
"364","Santa Fé",3986
"144","Cabecera San Antonio de Prado",3767
"424","Villa Nueva",3726
"345","San Benito",3538
"218","Guayaquil",3527
"155","Carlos E. Restrepo",3342
"347","San Diego",3275
"311","Naranjal",3243
"401","Terminal de Transporte",3203
"125","Belén",2959
"157","Castilla",2908
"287","Los Colores",2792
"139","Boston",2760
"228","La Alpujarra",2760
"163","Corazón de Jesús",2738
"416","Villa Carlota",2628
"217","Guayabal",2597
"165","Cristo Rey",2366
"341","Prado",2345
"227","La Aguacatala",2342
"174","El Chagualo",2202
"223","Jesús Nazareno",2202
"292","Manila",2192
"148","Calle Nueva",2025
"410","Universidad Nacional",2013
"190","El Progreso",2000
"398","Suramericana",1883
"343","Rosales",1759
"275","Laureles",1738
"188","El Poblado",1695
"204","Estación Villa",1664
"263","Las Acacias",1655
"377","Sevilla",1527
"151","Campo Valdés No. 1",1508
"229","La América",1431
"158","Castropol",1394
"166","Cuarta Brigada",1391
"205","Facultad de Minas U. Nacional",1385
"306","Moravia",1377
"134","Bomboná No. 1",1374
"283","Los Ángeles",1333
"267","Las Granjas",1298
"118","Barrio Colombia",1284
"402","Toscana",1278
"406","Trinidad",1278
"346","San Bernardo",1276
"293","Manrique Central No. 1",1273
"207","Fátima",1268
"219","Héctor Abad Gómez",1258
"342","Robledo",1243
"349","San Isidro",1229
"327","Patio Bonito",1202
"162","Cerro Nutibara",1191
"303","Miranda",1188
"318","Oleoducto",1186
"142","Buenos Aires",1180
"264","Las Brisas",1176
"90","Alfonso López",1168
"181","El Estadio",1145
"291","Los Pinos",1142
"400","Tenche",1134
"179","El Diamante",1130
"405","Tricentenario",1125
"241","La Gloria",1118
"167","Cucaracho",1085
"409","Universidad de Antioquia",1073
"193","El Rincón",1069
"117","Barrio Caicedo",1062
"238","La Florida",1056
"297","Manrique Oriental",1055
"348","San Germán",1049
"152","Campo Valdés No. 2",1047
"1","0",1046
"328","Pedregal",1046
"226","Kennedy",1042
"89","Alejandro Echavarría",1035
"103","Área de Expansión Pajarito",1030
"325","Parque Juan Pablo II",1019
"361","San Pedro",1019
"278","López de Mesa",1016
"128","Berlin",1011
"279","Lorena",1007
"368","Santa María de los Ángeles",1002
"214","Girardot",999
"418","Villa Flora",988
"210","Florida Nueva",986
"359","San Miguel",977
"285","Los Balsos No.2",920
"333","Picacho",900
"280","Loreto",882
"146","Calasanz",877
"105","Asomadera No. 1",869
"232","La Castellana",863
"399","Tejelo",858
"133","Bolivariana",853
"237","La Floresta",847
"201","El Velódromo",811
"350","San Javier No.1",810
"294","Manrique Central No. 2",794
"235","La Esperanza",789
"91","Altamira",778
"198","El Tesoro",778
"397","Sucre",771
"290","Los Naranjos",748
"203","Enciso",738
"140","Boyacá",737
"255","La Pilarica",737
"358","San Martín de Porres",731
"272","Las Palmas",727
"124","Belalcázar",724
"112","Aures No. 2",722
"170","Doce de Octubre No.2",717
"302","Miraflores",710
"373","Santander",709
"233","La Colina",701
"196","El Salvador",699
"145","Cabecera Urbana San Cristobal",686
"420","Villa Hermosa",679
"352","San Joaquín",661
"269","Las Lomas No.1",659
"149","Campo Alegre",658
"365","Santa Inés",654
"259","La Salle",651
"254","La Palma",649
"273","Las Playas",643
"141","Brasilia",642
"88","Alejandría",632
"164","Córdoba",631
"192","El Raizal",625
"289","Los Mangos",624
"186","El Pinal",620
"211","Francisco Antonio Zea",620
"412","Versalles No. 1",616
"106","Asomadera No. 2",615
"250","La Milagrosa",604
