"";"Var1";"Var2";"Var3";"Freq"
"4149";"Solo daños";"Choque";"La Candelaria";3417
"2133";"Solo daños";"Choque";"Barrio Colón";2684
"2691";"Solo daños";"Choque";"Campo Amor";2684
"5949";"Solo daños";"Choque";"Perpetuo Socorro";2679
"2763";"Solo daños";"Choque";"Caribe";2331
"5175";"Solo daños";"Choque";"Los Conquistadores";2258
"3915";"Solo daños";"Choque";"Guayaquil";2070
"6237";"Solo daños";"Choque";"San Diego";1962
"6201";"Solo daños";"Choque";"San Benito";1945
"7623";"Solo daños";"Choque";"Villa Nueva";1935
"2781";"Solo daños";"Choque";"Carlos E. Restrepo";1790
"5589";"Solo daños";"Choque";"Naranjal";1789
"6543";"Solo daños";"Choque";"Santa Fé";1775
"2241";"Solo daños";"Choque";"Belén";1703
"4095";"Solo daños";"Choque";"La Alpujarra";1689
"7209";"Solo daños";"Choque";"Terminal de Transporte";1668
"2925";"Solo daños";"Choque";"Corazón de Jesús";1617
"2583";"Solo daños";"Choque";"Cabecera San Antonio de Prado";1552
"7479";"Solo daños";"Choque";"Villa Carlota";1544
"5247";"Solo daños";"Choque";"Manila";1417
"4077";"Solo daños";"Choque";"La Aguacatala";1367
"3897";"Solo daños";"Choque";"Guayabal";1340
"5947";"Con heridos";"Choque";"Perpetuo Socorro";1290
"2493";"Solo daños";"Choque";"Boston";1284
"2655";"Solo daños";"Choque";"Calle Nueva";1266
"2761";"Con heridos";"Choque";"Caribe";1257
"2689";"Con heridos";"Choque";"Campo Amor";1203
"3375";"Solo daños";"Choque";"El Poblado";1139
"2961";"Solo daños";"Choque";"Cristo Rey";1138
"6541";"Con heridos";"Choque";"Santa Fé";1104
"5157";"Solo daños";"Choque";"Los Colores";1080
"3123";"Solo daños";"Choque";"El Chagualo";1051
"7155";"Solo daños";"Choque";"Suramericana";1032
"3411";"Solo daños";"Choque";"El Progreso";986
"4141";"Con heridos";"Atropello";"La Candelaria";981
"4005";"Solo daños";"Choque";"Jesús Nazareno";974
"6129";"Solo daños";"Choque";"Prado";964
"7371";"Solo daños";"Choque";"Universidad Nacional";953
"4725";"Solo daños";"Choque";"Las Acacias";931
"5173";"Con heridos";"Choque";"Los Conquistadores";931
"4941";"Solo daños";"Choque";"Laureles";923
"2581";"Con heridos";"Choque";"Cabecera San Antonio de Prado";885
"3663";"Solo daños";"Choque";"Estación Villa";825
"6165";"Solo daños";"Choque";"Rosales";809
"2131";"Con heridos";"Choque";"Barrio Colón";805
"2815";"Con heridos";"Choque";"Castilla";768
"2835";"Solo daños";"Choque";"Castropol";766
"2491";"Con heridos";"Choque";"Boston";764
"2403";"Solo daños";"Choque";"Bomboná No. 1";745
"2779";"Con heridos";"Choque";"Carlos E. Restrepo";745
"6127";"Con heridos";"Choque";"Prado";737
"2115";"Solo daños";"Choque";"Barrio Colombia";719
"2817";"Solo daños";"Choque";"Castilla";715
"5877";"Solo daños";"Choque";"Patio Bonito";712
"4147";"Con heridos";"Choque";"La Candelaria";700
"7621";"Con heridos";"Choque";"Villa Nueva";693
"4275";"Solo daños";"Choque";"La Florida";691
"6777";"Solo daños";"Choque";"Sevilla";686
"5121";"Solo daños";"Choque";"Los Balsos No.2";685
"4113";"Solo daños";"Choque";"La América";677
"2979";"Solo daños";"Choque";"Cuarta Brigada";664
"5587";"Con heridos";"Choque";"Naranjal";653
"7207";"Con heridos";"Choque";"Terminal de Transporte";652
"7477";"Con heridos";"Choque";"Villa Carlota";650
"3913";"Con heridos";"Choque";"Guayaquil";649
"5155";"Con heridos";"Choque";"Los Colores";649
"6615";"Solo daños";"Choque";"Santa María de los Ángeles";626
"2959";"Con heridos";"Choque";"Cristo Rey";614
"6199";"Con heridos";"Choque";"San Benito";612
"3895";"Con heridos";"Choque";"Guayabal";595
"3681";"Solo daños";"Choque";"Facultad de Minas U. Nacional";592
"3717";"Solo daños";"Choque";"Fátima";589
"2239";"Con heridos";"Choque";"Belén";579
"7191";"Solo daños";"Choque";"Tenche";575
"4093";"Con heridos";"Choque";"La Alpujarra";571
"4003";"Con heridos";"Choque";"Jesús Nazareno";565
"6163";"Con heridos";"Choque";"Rosales";563
"7369";"Con heridos";"Choque";"Universidad Nacional";558
"6235";"Con heridos";"Choque";"San Diego";555
"5229";"Solo daños";"Choque";"Los Pinos";554
"2907";"Solo daños";"Choque";"Cerro Nutibara";549
"7227";"Solo daños";"Choque";"Toscana";537
"2767";"Con heridos";"Otro";"Caribe";532
"7299";"Solo daños";"Choque";"Trinidad";532
"4075";"Con heridos";"Choque";"La Aguacatala";528
"2923";"Con heridos";"Choque";"Corazón de Jesús";519
"5499";"Solo daños";"Choque";"Moravia";515
"3121";"Con heridos";"Choque";"El Chagualo";512
"5085";"Solo daños";"Choque";"Los Ángeles";510
"4939";"Con heridos";"Choque";"Laureles";509
"3249";"Solo daños";"Choque";"El Estadio";505
"5211";"Solo daños";"Choque";"Los Naranjos";505
"5013";"Solo daños";"Choque";"Lorena";504
"2821";"Con heridos";"Otro";"Castilla";502
"6219";"Solo daños";"Choque";"San Bernardo";500
"2707";"Con heridos";"Choque";"Campo Valdés No. 1";494
"3409";"Con heridos";"Choque";"El Progreso";488
"3933";"Solo daños";"Choque";"Héctor Abad Gómez";486
"6255";"Solo daños";"Choque";"San Germán";484
"4329";"Solo daños";"Choque";"La Gloria";481
"7281";"Solo daños";"Choque";"Tricentenario";479
"3771";"Solo daños";"Choque";"Florida Nueva";473
"5445";"Solo daños";"Choque";"Miranda";466
"7615";"Con heridos";"Atropello";"Villa Nueva";466
"2575";"Con heridos";"Atropello";"Cabecera San Antonio de Prado";464
"3555";"Solo daños";"Choque";"El Tesoro";462
"1881";"Solo daños";"Choque";"Asomadera No. 1";459
"2547";"Solo daños";"Choque";"Buenos Aires";457
"2695";"Con heridos";"Otro";"Campo Amor";457
"6489";"Solo daños";"Choque";"San Pedro";455
"7353";"Solo daños";"Choque";"Universidad de Antioquia";453
"5953";"Con heridos";"Otro";"Perpetuo Socorro";449
"2385";"Solo daños";"Choque";"Bolivariana";447
"4743";"Solo daños";"Choque";"Las Brisas";444
"4167";"Solo daños";"Choque";"La Castellana";442
"5715";"Solo daños";"Choque";"Oleoducto";440
"2619";"Solo daños";"Choque";"Calasanz";439
"7153";"Con heridos";"Choque";"Suramericana";438
"5083";"Con heridos";"Choque";"Los Ángeles";433
"1575";"Solo daños";"Choque";"Alejandría";429
"5265";"Solo daños";"Choque";"Manrique Central No. 1";428
"3715";"Con heridos";"Choque";"Fátima";427
"5841";"Solo daños";"Choque";"Parque Juan Pablo II";418
"3465";"Solo daños";"Choque";"El Rincón";412
"2812";"Con heridos";"Caida de Ocupante";"Castilla";411
"4833";"Solo daños";"Choque";"Las Lomas No.1";408
"6547";"Con heridos";"Otro";"Santa Fé";404
"5713";"Con heridos";"Choque";"Oleoducto";401
"5245";"Con heridos";"Choque";"Manila";398
"5161";"Con heridos";"Otro";"Los Colores";397
"6193";"Con heridos";"Atropello";"San Benito";395
"7225";"Con heridos";"Choque";"Toscana";391
"5263";"Con heridos";"Choque";"Manrique Central No. 1";388
"1899";"Solo daños";"Choque";"Asomadera No. 2";383
"2125";"Con heridos";"Atropello";"Barrio Colón";381
"2587";"Con heridos";"Otro";"Cabecera San Antonio de Prado";381
"3609";"Solo daños";"Choque";"El Velódromo";380
"2097";"Solo daños";"Choque";"Barrio Caicedo";379
"5179";"Con heridos";"Otro";"Los Conquistadores";377
"7297";"Con heridos";"Choque";"Trinidad";375
"2709";"Solo daños";"Choque";"Campo Valdés No. 1";372
"2653";"Con heridos";"Choque";"Calle Nueva";370
"7213";"Con heridos";"Otro";"Terminal de Transporte";361
"2545";"Con heridos";"Choque";"Buenos Aires";359
"4723";"Con heridos";"Choque";"Las Acacias";355
"3931";"Con heridos";"Choque";"Héctor Abad Gómez";354
"4144";"Con heridos";"Caida de Ocupante";"La Candelaria";354
"6327";"Solo daños";"Choque";"San Joaquín";354
"2758";"Con heridos";"Caida de Ocupante";"Caribe";352
"6775";"Con heridos";"Choque";"Sevilla";350
"2809";"Con heridos";"Atropello";"Castilla";349
"6451";"Con heridos";"Choque";"San Miguel";347
"1611";"Solo daños";"Choque";"Alfonso López";345
"6273";"Solo daños";"Choque";"San Isidro";344
"3907";"Con heridos";"Atropello";"Guayaquil";343
"6147";"Solo daños";"Choque";"Robledo";343
"2686";"Con heridos";"Caida de Ocupante";"Campo Amor";342
"4257";"Solo daños";"Choque";"La Floresta";342
"6217";"Con heridos";"Choque";"San Bernardo";341
"7515";"Solo daños";"Choque";"Villa Flora";341
"7189";"Con heridos";"Choque";"Tenche";339
"2401";"Con heridos";"Choque";"Bomboná No. 1";337
"2977";"Con heridos";"Choque";"Cuarta Brigada";334
"2905";"Con heridos";"Choque";"Cerro Nutibara";332
"5152";"Con heridos";"Caida de Ocupante";"Los Colores";330
"2223";"Solo daños";"Choque";"Belalcázar";328
"6271";"Con heridos";"Choque";"San Isidro";328
"9";"Solo daños";"Choque";"0";324
"4581";"Solo daños";"Choque";"La Pilarica";323
"4797";"Solo daños";"Choque";"Las Granjas";320
"5839";"Con heridos";"Choque";"Parque Juan Pablo II";320
"5497";"Con heridos";"Choque";"Moravia";318
"2295";"Solo daños";"Choque";"Berlin";317
"4111";"Con heridos";"Choque";"La América";316
"5593";"Con heridos";"Otro";"Naranjal";313
"2833";"Con heridos";"Choque";"Castropol";312
"5443";"Con heridos";"Choque";"Miranda";311
"5335";"Con heridos";"Choque";"Manrique Oriental";310
"5103";"Solo daños";"Choque";"Los Balsos No.1";309
"1593";"Solo daños";"Choque";"Alejandro Echavarría";308
"4185";"Solo daños";"Choque";"La Colina";308
"4153";"Con heridos";"Otro";"La Candelaria";306
"4887";"Solo daños";"Choque";"Las Palmas";306
"4059";"Solo daños";"Choque";"Kennedy";304
"4741";"Con heridos";"Choque";"Las Brisas";304
"2725";"Con heridos";"Choque";"Campo Valdés No. 2";303
"7279";"Con heridos";"Choque";"Tricentenario";302
"1629";"Solo daños";"Choque";"Altamira";300
"2785";"Con heridos";"Otro";"Carlos E. Restrepo";300
"2113";"Con heridos";"Choque";"Barrio Colombia";299
"3105";"Solo daños";"Choque";"El Castillo";297
"5337";"Solo daños";"Choque";"Manrique Oriental";295
"1591";"Con heridos";"Choque";"Alejandro Echavarría";294
"5944";"Con heridos";"Caida de Ocupante";"Perpetuo Socorro";294
"6145";"Con heridos";"Choque";"Robledo";293
"2997";"Solo daños";"Choque";"Cucaracho";292
"3213";"Solo daños";"Choque";"El Diamante";291
"6453";"Solo daños";"Choque";"San Miguel";291
"2137";"Con heridos";"Otro";"Barrio Colón";290
"4563";"Solo daños";"Choque";"La Palma";290
"4789";"Con heridos";"Atropello";"Las Granjas";290
"5031";"Solo daños";"Choque";"Loreto";290
"6241";"Con heridos";"Otro";"San Diego";285
"2578";"Con heridos";"Caida de Ocupante";"Cabecera San Antonio de Prado";282
"2995";"Con heridos";"Choque";"Cucaracho";281
"3843";"Solo daños";"Choque";"Girardot";280
"5875";"Con heridos";"Choque";"Patio Bonito";280
"3661";"Con heridos";"Choque";"Estación Villa";278
"6538";"Con heridos";"Caida de Ocupante";"Santa Fé";278
"3247";"Con heridos";"Choque";"El Estadio";276
"3861";"Solo daños";"Choque";"Granada";275
"7135";"Con heridos";"Choque";"Sucre";275
"4795";"Con heridos";"Choque";"Las Granjas";274
"2485";"Con heridos";"Atropello";"Boston";272
"4327";"Con heridos";"Choque";"La Gloria";270
"3679";"Con heridos";"Choque";"Facultad de Minas U. Nacional";266
"4165";"Con heridos";"Choque";"La Castellana";261
"6253";"Con heridos";"Choque";"San Germán";259
"5893";"Con heridos";"Choque";"Pedregal";258
"2511";"Solo daños";"Choque";"Boyacá";257
"3285";"Solo daños";"Choque";"El Nogal-Los Almendros";257
"4905";"Solo daños";"Choque";"Las Playas";257
"6487";"Con heridos";"Choque";"San Pedro";256
"7618";"Con heridos";"Caida de Ocupante";"Villa Nueva";256
"6291";"Solo daños";"Choque";"San Javier No.1";254
"5011";"Con heridos";"Choque";"Lorena";253
"3519";"Solo daños";"Choque";"El Salvador";251
"6205";"Con heridos";"Otro";"San Benito";250
"6417";"Solo daños";"Choque";"San Lucas";250
"6795";"Solo daños";"Choque";"Simón Bolívar";250
"5427";"Solo daños";"Choque";"Miraflores";249
"3901";"Con heridos";"Otro";"Guayabal";248
"4995";"Solo daños";"Choque";"López de Mesa";248
"5227";"Con heridos";"Choque";"Los Pinos";248
"7351";"Con heridos";"Choque";"Universidad de Antioquia";248
"7627";"Con heridos";"Otro";"Villa Nueva";248
"3373";"Con heridos";"Choque";"El Poblado";245
"3841";"Con heridos";"Choque";"Girardot";244
"2683";"Con heridos";"Atropello";"Campo Amor";243
"3655";"Con heridos";"Atropello";"Estación Villa";243
"2776";"Con heridos";"Caida de Ocupante";"Carlos E. Restrepo";242
"7513";"Con heridos";"Choque";"Villa Flora";241
"2637";"Solo daños";"Choque";"Calasanz Parte Alta";238
"3685";"Con heridos";"Otro";"Facultad de Minas U. Nacional";236
"5425";"Con heridos";"Choque";"Miraflores";236
"3607";"Con heridos";"Choque";"El Velódromo";235
"3015";"Solo daños";"Choque";"Diego Echavarría";232
"7204";"Con heridos";"Caida de Ocupante";"Terminal de Transporte";232
"2701";"Con heridos";"Atropello";"Campo Valdés No. 1";231
"1845";"Solo daños";"Choque";"Área de Expansión Pajarito";230
"3231";"Solo daños";"Choque";"El Diamante No. 2";230
"4851";"Solo daños";"Choque";"Las Lomas No.2";230
"3208";"Con heridos";"Caida de Ocupante";"El Diamante";229
"7137";"Solo daños";"Choque";"Sucre";229
"4527";"Solo daños";"Choque";"La Mota";228
"5281";"Con heridos";"Choque";"Manrique Central No. 2";228
"5625";"Solo daños";"Choque";"Nueva Villa de la Iguaná";228
"4009";"Con heridos";"Otro";"Jesús Nazareno";226
"4977";"Solo daños";"Choque";"Loma de los Bernal";226
"6535";"Con heridos";"Atropello";"Santa Fé";226
"4255";"Con heridos";"Choque";"La Floresta";225
"5170";"Con heridos";"Caida de Ocupante";"Los Conquistadores";225
"2095";"Con heridos";"Choque";"Barrio Caicedo";223
"3769";"Con heridos";"Choque";"Florida Nueva";223
"1609";"Con heridos";"Choque";"Alfonso López";222
"2617";"Con heridos";"Choque";"Calasanz";222
"7";"Con heridos";"Choque";"0";221
"4990";"Con heridos";"Caida de Ocupante";"López de Mesa";221
"4491";"Solo daños";"Choque";"La Milagrosa";220
"1843";"Con heridos";"Choque";"Área de Expansión Pajarito";219
"2719";"Con heridos";"Atropello";"Campo Valdés No. 2";218
"2965";"Con heridos";"Otro";"Cristo Rey";218
"3217";"Con heridos";"Otro";"El Diamante";218
"4993";"Con heridos";"Choque";"López de Mesa";217
"5491";"Con heridos";"Atropello";"Moravia";217
"3643";"Con heridos";"Choque";"Enciso";215
"5584";"Con heridos";"Caida de Ocupante";"Naranjal";215
"5895";"Solo daños";"Choque";"Pedregal";215
"2245";"Con heridos";"Otro";"Belén";213
"2383";"Con heridos";"Choque";"Bolivariana";213
"2917";"Con heridos";"Atropello";"Corazón de Jesús";213
"4051";"Con heridos";"Atropello";"Kennedy";213
"5283";"Solo daños";"Choque";"Manrique Central No. 2";213
"2233";"Con heridos";"Atropello";"Belén";212
"7173";"Solo daños";"Choque";"Tejelo";212
"2293";"Con heridos";"Choque";"Berlin";210
"6196";"Con heridos";"Caida de Ocupante";"San Benito";210
"2128";"Con heridos";"Caida de Ocupante";"Barrio Colón";209
"2671";"Con heridos";"Choque";"Campo Alegre";209
"3211";"Con heridos";"Choque";"El Diamante";209
"1953";"Solo daños";"Choque";"Astorga";208
"6142";"Con heridos";"Caida de Ocupante";"Robledo";208
"2527";"Con heridos";"Choque";"Brasilia";207
"3339";"Solo daños";"Choque";"El Pinal";207
"5980";"Con heridos";"Caida de Ocupante";"Picacho";207
"6133";"Con heridos";"Otro";"Prado";207
"6151";"Con heridos";"Otro";"Robledo";207
"2943";"Solo daños";"Choque";"Córdoba";206
"1627";"Con heridos";"Choque";"Altamira";203
"1879";"Con heridos";"Choque";"Asomadera No. 1";203
"2601";"Solo daños";"Choque";"Cabecera Urbana San Cristobal";203
"2221";"Con heridos";"Choque";"Belalcázar";202
"6289";"Con heridos";"Choque";"San Javier No.1";201
"7171";"Con heridos";"Choque";"Tejelo";201
"5149";"Con heridos";"Atropello";"Los Colores";200
"1849";"Con heridos";"Otro";"Área de Expansión Pajarito";199
"3789";"Solo daños";"Choque";"Francisco Antonio Zea";199
"3919";"Con heridos";"Otro";"Guayaquil";199
"5067";"Solo daños";"Choque";"Los Alpes";199
